Valores de las variables nacimientos;;
Valor;C¢digo;Etiqueta
;1616;Santa Catalina la Tinta
;1617;Raxruh†
;1701;Flores
;1702;San JosÇ
;1703;San Benito
;1704;San AndrÇs
;1705;La Libertad
;1706;San Francisco
;1707;Santa Ana
;1708;Dolores
;1709;San Luis
;1710;SayaxchÇ
;1711;Melchor de Mencos
;1712;Popt£n
;1713;Las Cruces
;1801;Puerto Barrios
;1802;Livingston
;1803;El Estor
;1804;Morales
;1805;Los Amates
;1901;Zacapa
;1902;Estanzuela
;1903;R°o Hondo
;1904;Gual†n
;1905;Teculut†n
;1906;Usumatl†n
;1907;Caba§as
;1908;San Diego
;1909;La Uni¢n
;1910;HuitÇ
;2001;Chiquimula
;2002;San JosÇ La Arada
;2003;San Juan Ermita
;2004;Jocot†n
;2005;Camot†n
;2006;Olopa
;2007;Esquipulas
;2008;Concepci¢n Las Minas
;2009;Quetzaltepeque
;2010;San Jacinto
;2011;Ipala
;2101;Jalapa
;2102;San Pedro Pinula
;2103;San Luis Jilotepeque
;2104;San Manuel Chaparr¢n
;2105;San Carlos Alzatate
;2106;Monjas
;2107;Mataquescuintla
;2201;Jutiapa
;2202;El Progreso
;2203;Santa Catarina Mita
;2204;Agua Blanca
;2205;Asunci¢n Mita
;2206;Yupiltepeque
;2207;Atescatempa
;2208;Jerez
;2209;El Adelanto
;2210;Zapotitl†n
;2211;Comapa
;2212;Jalpatagua
;2213;Conguaco
;2214;Moyuta
;2215;Pasaco
;2216;San JosÇ Acatempa
;2217;Quesada
;2300;Extranjero
;9999;Ignorado
Grupo etnico del padre;1;Ind°gena
;2;No ind°gena
;9;Ignorado
Estado civil del padre;1;Soltero
;2;Casado
;3;Unido
;9;Ignorado
Departamento de nacimiento del padre;1;Guatemala
;2;El Progreso
;3;SacatepÇquez
;4;Chimaltenango
;5;Escuintla
;6;Santa Rosa
;7;Solol†
;8;Totonicap†n
;9;Quetzaltenango
;10;SuchitepÇquez
;11;Retalhuleu
;12;San Marcos
;13;Huehuetenango
;14;QuichÇ
;15;Baja Verapaz
;16;Alta Verapaz
;17;PetÇn
;18;Izabal
;19;Zacapa
;20;Chiquimula
;21;Jalapa
;22;Jutiapa
;23;Extranjero
;99;Ignorado
Municipio de nacimiento del padre;0101;Guatemala
;0102;Santa Catarina Pinula
;0103;San JosÇ Pinula
;0104;San JosÇ del Golfo
;0105;Palencia
;0106;Chinautla
;0107;San Pedro Ayampuc
;0108;Mixco
;0109;San Pedro SacatepÇquez
;0110;San Juan SacatepÇquez
;0111;San Raymundo
;0112;Chuarrancho
;0113;Fraijanes
;0114;Amatitl†n
;0115;Villa Nueva
;0116;Villa Canales
;0117;Petapa
;0201;Guastatoya
;0202;Moraz†n
;0203;San Agust°n Acasaguastl†n
;0204;San Crist¢bal Acasaguastl†n
;0205;El J°caro
;0206;Sansare
;0207;Sanarate
;0208;San Antonio la Paz
;0301;Antigua Guatemala
;0302;Jocotenango
;0303;Pastores
;0304;Sumpango
;0305;Santo Domingo Xenacoj
;0306;Santiago SacatepÇquez
;0307;San BartolomÇ Milpas Altas
;0308;San Lucas SacatepÇquez
;0309;Santa Luc°a Milpas Altas
;0310;Magdalena Milpas Altas
;0311;Santa Mar°a de Jes£s
;0312;Ciudad Vieja
;0313;San Miguel Due§as
;0314;Alotenango
;0315;San Antonio Aguas Calientes
;0316;Santa Catarina Barahona
;0401;Chimaltenango
;0402;San JosÇ Poaquil
;0403;San Mart°n Jilotepeque
;0404;Comalapa
;0405;Santa Apolonia
;0406;Tecp†n Guatemala
;0407;Patz£n
;0408;Pochuta
;0409;Patzic°a
;0410;Santa Cruz Balany†
;0411;Acatenango
;0412;Yepocapa
;0413;San AndrÇs Itzapa
;0414;Parramos
;0415;Zaragoza
;0416;El Tejar
;0501;Escuintla
;0502;Santa Luc°a Cotzumalguapa
;0503;La Democracia
;0504;Siquinal†
;0505;Masagua
;0506;Tiquisate
;0507;La Gomera
;0508;Guanagazapa
;0509;San JosÇ
;0510;Iztapa
;0511;Pal°n
;0512;San Vicente Pacaya
;0513;Nueva Concepci¢n
;0601;Cuilapa
;0602;Barberena
;0603;Santa Rosa de Lima
;0604;Casillas
;0605;San Rafael las Flores
;0606;Oratorio
;0607;San Juan Tecuaco
;0608;Chiquimulilla
;0609;Taxisco
;0610;Santa Mar°a Ixhuat†n
;0611;Guazacap†n
;0612;Santa Cruz Naranjo
;0613;Pueblo Nuevo Vi§as
;0614;Nueva Santa Rosa
;0701;Solol†
;0702;San JosÇ Chacay†
;0703;Santa Mar°a Visitaci¢n
;0704;Santa Luc°a Utatl†n
;0705;Nahual†
;0706;Santa Catarina Ixtahuac†n
;0707;Santa Clara la Laguna
;0708;Concepci¢n
;0709;San AndrÇs Semetabaj
;0710;Panajachel
;0711;Santa Catarina Palop¢
;0712;San Antonio Palop¢
;0713;San Lucas Tolim†n
;0714;Santa Cruz la Laguna
;0715;San Pablo la Laguna
;0716;San Marcos la Laguna
;0717;San Juan la Laguna
;0718;San Pedro la Laguna
;0719;Santiago Atitl†n
;0801;Totonicap†n
;0802;San Crist¢bal Totonicap†n
;0803;San Francisco el Alto
;0804;San AndrÇs Xecul
;0805;Momostenango
;0806;Santa Mar°a Chiquimula
;0807;Santa Luc°a la Reforma
;0808;San Bartolo
;0901;Quetzaltenango
;0902;Salcaj†
;0903;Olintepeque
;0904;San Carlos Sija
;0905;Sibilia
;0906;Cabric†n
;0907;Cajol†
;0908;San Miguel Siguil†
;0909;Ostuncalco
;0910;San Mateo
;0911;Concepci¢n Chiquirichapa
;0912;San Mart°n SacatepÇquez
;0913;Almolonga
;0914;Cantel
;0915;Huit†n
;0916;Zunil
;0917;Colomba
;0918;San Francisco la Uni¢n
;0919;El Palmar
;0920;Coatepeque
;0921;GÇnova
;0922;Flores Costa Cuca
;0923;La Esperanza
;0924;Palestina de los Altos
;1001;Mazatenango
;1002;Cuyotenango
;1003;San Francisco Zapotitl†n
;1004;San Bernardino
;1005;San JosÇ el Idolo
;1006;Santo Domingo SuchitepÇquez
;1007;San Lorenzo
;1008;Samayac
;1009;San Pablo Jocopilas
;1010;San Antonio SuchitepÇquez
;1011;San Miguel Pan†n
;1012;San Gabriel
;1013;Chicacao
;1014;Patulul
;1015;Santa B†rbara
;1016;San Juan Bautista
;1017;Santo Tom†s la Uni¢n
;1018;Zunilito
;1019;Pueblo Nuevo
;1020;R°o Bravo
;1101;Retalhuleu
;1102;San Sebasti†n
;1103;Santa Cruz Mulu†
;1104;San Mart°n Zapotitl†n
;1105;San Felipe
;1106;San AndrÇs Villa Seca
;1107;Champerico
;1108;Nuevo San Carlos
;1109;El Asintal
;1201;San Marcos
;1202;San Pedro SacatepÇquez
;1203;San Antonio SacatepÇquez
;1204;Comitancillo
;1205;San Miguel Ixtahuac†n
;1206;Concepci¢n Tutuapa
;1207;Tacan†
;1208;Sibinal
;1209;Tajumulco
;1210;Tejutla
;1211;San Rafael PiÇ de la Cuesta
;1212;Nuevo Progreso
;1213;El Tumbador
;1214;El Rodeo
;1215;Malacat†n
;1216;Catarina
;1217;Ayutla
;1218;Oc¢s
;1219;San Pablo
;1220;El Quetzal
;1221;La Reforma
;1222;Pajapita
;1223;Ixchigu†n
;1224;San JosÇ Ojeten†n
;1225;San Crist¢bal Cucho
;1226;Sipacapa
;1227;Esquipulas Palo Gordo
;1228;R°o Blanco
;1229;San Lorenzo
;1301;Huehuetenango
;1302;Chiantla
;1303;Malacatancito
;1304;Cuilco
;1305;Nent¢n
;1306;San Pedro Necta
;1307;Jacaltenango
;1308;Soloma
;1309;Ixtahuac†n
;1310;Santa B†rbara
;1311;La Libertad
;1312;La Democracia
;1313;San Miguel Acat†n
;1314;San Rafael la Independencia
;1315;Todos Santos Cuchumat†n
;1316;San Juan Atit†n
;1317;Santa Eulalia
;1318;San Mateo Ixtat†n
;1319;Colotenango
;1320;San Sebasti†n Huehuetenango
;1321;Tectit†n
;1322;Concepci¢n Huista
;1323;San Juan Ixcoy
;1324;San Antonio Huista
;1325;San Sebasti†n Coat†n
;1326;Barillas
;1327;Aguacat†n
;1328;San Rafael Petzal
;1329;San Gaspar Ixchil
;1330;Santiago Chimaltenango
;1331;Santa Ana Huista
;1332;Uni¢n Cantinil
;1401;Santa Cruz del QuichÇ
;1402;ChichÇ
;1403;Chinique
;1404;Zacualpa
;1405;Chajul
;1406;Chichicastenango
;1407;PatzitÇ
;1408;San Antonio Ilotenango
;1409;San Pedro Jocopilas
;1410;CunÇn
;1411;San Juan Cotzal
;1412;Joyabaj
;1413;Nebaj
;1414;San AndrÇs Sajcabaj†
;1415;Uspant†n
;1416;Sacapulas
;1417;San BartolomÇ Jocotenango
;1418;Canill†
;1419;Chicam†n
;1420;Ixc†n
;1421;Pachalum
;1501;Salam†
;1502;San Miguel Chicaj
;1503;Rabinal
;1504;Cubulco
;1505;Granados
;1506;El Chol
;1507;San Jer¢nimo
;1508;Purulh†
;1601;Cob†n
;1602;Santa Cruz Verapaz
;1603;San Crist¢bal Verapaz
;1604;Tactic
;1605;Tamah£
;1606;Tucur£
;1607;Panz¢s
;1608;Senah£
;1609;San Pedro Carch†
;1610;San Juan Chamelco
;1611;Lanqu°n
;1612;Cahab¢n
;1613;Chisec
;1614;Chahal
;1615;Fray BartolomÇ de las Casas
;1616;Santa Catalina la Tinta
;1617;Raxruh†
;1701;Flores
;1702;San JosÇ
;1703;San Benito
;1704;San AndrÇs
;1705;La Libertad
;1706;San Francisco
;1707;Santa Ana
;1708;Dolores
;1709;San Luis
;1710;SayaxchÇ
;1711;Melchor de Mencos
;1712;Popt£n
;1713;Las Cruces
;1801;Puerto Barrios
;1802;Livingston
;1803;El Estor
;1804;Morales
;1805;Los Amates
;1901;Zacapa
;1902;Estanzuela
;1903;R°o Hondo
;1904;Gual†n
;1905;Teculut†n
;1906;Usumatl†n
;1907;Caba§as
;1908;San Diego
;1909;La Uni¢n
;1910;HuitÇ
;2001;Chiquimula
;2002;San JosÇ La Arada
;2003;San Juan Ermita
;2004;Jocot†n
;2005;Camot†n
;2006;Olopa
;2007;Esquipulas
;2008;Concepci¢n Las Minas
;2009;Quetzaltepeque
;2010;San Jacinto
;2011;Ipala
;2101;Jalapa
;2102;San Pedro Pinula
;2103;San Luis Jilotepeque
;2104;San Manuel Chaparr¢n
;2105;San Carlos Alzatate
;2106;Monjas
;2107;Mataquescuintla
;2201;Jutiapa
;2202;El Progreso
;2203;Santa Catarina Mita
;2204;Agua Blanca
;2205;Asunci¢n Mita
;2206;Yupiltepeque
;2207;Atescatempa
;2208;Jerez
;2209;El Adelanto
;2210;Zapotitl†n
;2211;Comapa
;2212;Jalpatagua
;2213;Conguaco
;2214;Moyuta
;2215;Pasaco
;2216;San JosÇ Acatempa
;2217;Quesada
;2300;Extranjero
;9999;Ignorado
Nacionalidad del padre;10;Turquia
;32;Argentina
;40;Austria
;56;BÇlgica
;68;Bolivia
;76;Brasil
;84;Belice
;120;Camer£n
;124;Canad†
;152;Chile
;156;China
;170;Colombia
;188;Costa Rica
;192;Cuba
;208;Dinamarca
;214;Rep£blica Dominicana
;218;Ecuador
;222;El Salvador
;276;Alemania
;320;Guatemala
;340;Honduras
;344;Hong Kong
;352;Islandia
;356;India
;376;Israel
;380;Italia
;392;Jap¢n
;400;Jordania
;408;Corea Del Norte
;410;Corea Del Sur
;414;Kuwait
;422;Libano
;450;Madagascar
;504;Marruecos
;566;Nigeria
;568;Gran Breta§a
;578;Noruega
;604;Per£
;608;Filipinas
;630;Puerto Rico
;642;Rumania
;643;Rusia
;718;Holanda
;720;Nicaragua
;723;MÇxico
;724;Espa§a
;752;Suecia
;756;Suiza
;760;Siria
;780;Trinidad Y Tobago
;818;Egipto
;840;Estados Unidos de AmÇrica
;858;Uruguay
;1000;Inglaterra
;1020;Francia
;1026;Panam†
;1029;Rep£blica de China (Taiwan)
;1034;Venezuela
;9999;Ignorado
Ocupaci¢n del padre;1111;Miembros del poder legislativo
;1112;Personal directivo de la administraci¢n p£blica
;1113;Jefes de peque§as poblaciones
;1114;Dirigentes de organizaciones que presentan un interÇs especial
;1120;Directores generales y gerentes generales
;1211;Directores financieros
;1212;Directores de recursos humanos
;1213;Directores de pol°ticas y planificaci¢n
;1219;Directores de administraci¢n y servicios no clasificados bajo otros ep°grafes
;1221;Directores de ventas y comercializaci¢n
;1222;Directores de publicidad y relaciones p£blicas
;1223;Directores de investigaci¢n y desarrollo
;1311;Directores de producci¢n agropecuaria y silvicultura
;1312;Directores de producci¢n de piscicultura y pesca
;1321;Directores de industrias manufactureras
;1322;Directores de explotaciones de miner°a
;1323;Directores de empresas de construcci¢n
;1324;Directores de empresas de abastecimiento, distribuci¢n y afines
;1330;Directores de servicios de tecnolog°a de la informaci¢n y las comunicaciones
;1341;Directores de servicios de cuidados infantiles
;1342;Directores de servicios de salud
;1343;Directores de servicios de cuidado de las personas de edad
;1344;Directores  de servicios de bienestar social
;1345;Directores de servicios de educaci¢n
;1346;Gerentes de sucursales de bancos, de servicios financieros y de seguros
;1349;Directores y gerentes de servicios profesionales no clasificados bajo otros ep°grafes
;1411;Gerentes de hoteles
;1412;Gerentes de restaurantes
;1420;Gerentes de comercios al por mayor y al por menor
;1431;Gerentes de centros deportivos, de esparcimiento y culturales
;1439;Gerentes de servicios no clasificados bajo otros ep°grafes
;2111;F°sicos y astr¢nomos
;2112;Meteor¢logos
;2113;Qu°micos
;2114;Ge¢logos y geof°sicos
;2120;Matem†ticos, actuarios y estad°sticos
;2131;Bi¢logos, bot†nicos, zo¢logos y afines
;2132;Agr¢nomos y afines
;2133;Profesionales de la protecci¢n medioambiental
;2141;Ingenieros industriales y de producci¢n
;2142;Ingenieros civiles
;2143;Ingenieros medioambientales
;2144;Ingenieros mec†nicos
;2145;Ingenieros qu°micos
;2146;Ingenieros de minas, metal£rgicos y afines
;2149;Ingenieros no clasificados bajo otros ep°grafes
;2151;Ingenieros electricistas
;2152;Ingenieros electr¢nicos
;2153;Ingenieros en telecomunicaciones
;2161;Arquitectos
;2162;Arquitectos paisajistas
;2163;Dise§adores de productos y de prendas
;2164;Urbanistas e ingenieros de tr†nsito
;2165;Cart¢grafos y agrimensores
;2166;Dise§adores gr†ficos y multimedia
;2211;MÇdicos generales
;2212;MÇdicos especialistas 
;2221;Profesionales de enfermer°a
;2222;Profesionales de parter°a
;2230;Profesionales de medicina tradicional y alternativa
;2240;Practicantes paramÇdicos
;2250;Veterinarios
;2261;Dentistas
;2262;FarmacÇuticos
;2263;Profesionales de la salud y la higiene laboral y ambiental
;2264;Fisioterapeutas 
;2265;Dietistas y nutricionistas
;2266;Audi¢logos y logopedas
;2267;Optometristas
;2269;Profesionales de la salud no clasificados bajo otros ep°grafes
;2310;Profesores de universidades y de la ense§anza superior
;2320;Profesores de formaci¢n profesional
;2330;Profesores de ense§anza secundaria
;2341;Maestros de ense§anza primaria
;2342;Maestros preescolares
;2351;Especialistas en mÇtodos pedag¢gicos
;2352;Educadores para necesidades especiales
;2353;Otros profesores de idiomas
;2354;Otros profesores de m£sica
;2355;Otros profesores de artes
;2356;Instructores en tecnolog°a de la informaci¢n
;2359;Profesionales de la ense§anza no clasificados bajo otros ep°grafes
;2411;Contables
;2412;Asesores financieros y en inversiones
;2413;Analistas financieros
;2421;Analistas de gesti¢n y organizaci¢n
;2422;Especialistas en pol°ticas de administraci¢n
;2423;Especialistas en pol°ticas y servicios de personal y afines
;2424;Especialistas en formaci¢n del personal
;2431;Profesionales de la publicidad y la comercializaci¢n
;2432;Profesionales de relaciones p£blicas
;2433;Profesionales de ventas tÇcnicas y mÇdicas (excluyendo la TIC)
;2434;Profesionales de ventas de tecnolog°a de la informaci¢n y las comunicaciones
;2511;Analistas de sistemas
;2512;Desarrolladores de software
;2513;Desarrolladores Web y multimedia
;2514;Programadores de aplicaciones
;2519;Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros ep°grafes
;2521;Dise§adores y administradores de bases de datos
;2522;Administradores de sistemas
;2523;Profesionales en redes de computadores
;2529;Especialistas en bases de datos y en redes de computadores no clasificados bajo otros ep°grafes
;2611;Abogados
;2612;Jueces
;2619;Profesionales en derecho no clasificados bajo otros ep°grafes
;2621;Archivistas y curadores de museos
;2622;Bibliotecarios, documentalistas y afines
;2631;Economistas
;2632;Soci¢logos, antrop¢logos y afines
;2633;Fil¢sofos, historiadores y especialistas en ciencias pol°ticas
;2634;Psic¢logos
;2635;Profesionales del trabajo social
;2636;Profesionales religiosos
;2641;Autores y otros escritores
;2642;Periodistas
;2643;Traductores, intÇrpretes y lingÅistas
;2651;Artistas de artes pl†sticas
;2652;M£sicos, cantantes y compositores
;2653;Bailarines y core¢grafos
;2654;Directores de cine, de teatro y afines
;2655;Actores
;2656;Locutores de radio, televisi¢n y otros medios de comunicaci¢n
;2659;Artistas creativos e interpretativos no clasificados bajo otros ep°grafes
;3111;TÇcnicos en ciencias f°sicas y qu°micas
;3112;TÇcnicos en ingenier°a civil
;3113;ElectrotÇcnicos
;3114;TÇcnicos en electr¢nica
;3115;TÇcnicos en ingenier°a mec†nica
;3116;TÇcnicos en qu°mica industrial
;3117;TÇcnicos en ingenier°a de minas y metalurgia
;3118;Delineantes y dibujantes tÇcnicos
;3119;TÇcnicos en ciencias f°sicas y en ingenier°a no clasificados bajo otros ep°grafes
;3121;Supervisores en ingenier°a de minas
;3122;Supervisores de industrias manufactureras
;3123;Supervisores de la construcci¢n
;3131;Operadores de instalaciones de producci¢n de energ°a
;3132;Operadores de incineradores, instalaciones de tratamiento de agua y afines
;3133;Controladores de instalaciones de procesamiento de productos qu°micos
;3134;Operadores de instalaciones de refinaci¢n de petr¢leo y gas natural
;3135;Controladores de procesos de producci¢n de metales
;3139;TÇcnicos en control de procesos no clasificados bajo otros ep°grafes
;3141;TÇcnicos en ciencias biol¢gicas (excluyendo la medicina)
;3142;TÇcnicos agropecuarios
;3143;TÇcnicos forestales
;3151;Oficiales maquinistas en navegaci¢n
;3152;Capitanes, oficiales de cubierta y pr†cticos
;3153;Pilotos de aviaci¢n y afines
;3154;Controladores de tr†fico aÇreo
;3155;TÇcnicos en seguridad aeron†utica
;3211;TÇcnicos en aparatos de diagn¢stico y tratamiento mÇdico
;3212;TÇcnicos de laboratorios mÇdicos
;3213;TÇcnicos y asistentes farmacÇuticos
;3214;TÇcnicos de pr¢tesis mÇdicas y dentales
;3221;Profesionales de nivel medio de enfermer°a
;3222;Profesionales de nivel medio de parter°a
;3230;Profesionales de nivel medio de medicina tradicional y alternativa
;3240;TÇcnicos y asistentes veterinarios
;3251;Dentistas auxiliares y ayudantes de odontolog°a
;3252;TÇcnicos en documentaci¢n sanitaria
;3253;Trabajadores comunitarios de la salud
;3254;TÇcnicos en optometr°a y ¢pticos
;3255;TÇcnicos y asistentes fisioterapeutas
;3256;Practicantes y asistentes mÇdicos
;3257;Inspectores de la salud laboral,  medioambiental y afines
;3258;Ayudantes de ambulancias
;3259;Profesionales de la salud de nivel medio no clasificados bajo otros ep°grafes
;3311;Agentes de bolsa, cambio y otros servicios financieros
;3312;Oficiales de prÇstamos y crÇditos
;3313;Tenedores de libros
;3314;Profesionales de nivel medio de servicios estad°sticos, matem†ticos y afines
;3315;Tasadores
;3321;Agentes de seguros
;3322;Representantes comerciales
;3323;Agentes de compras
;3324;Agentes de compras y consignatarios
;3331;Declarantes o gestores de aduana
;3332;Organizadores de conferencias y eventos
;3333;Agentes de empleo y contratistas de mano de obra
;3334;Agentes inmobiliarios
;3339;Agentes de servicios comerciales no clasificados bajo otros ep°grafes
;3341;Supervisores de secretar°a
;3342;Secretarios jur°dicos
;3343;Secretarios administrativos y ejecutivos
;3344;Secretarios mÇdicos
;3351;Agentes de aduana e inspectores de fronteras
;3352;Agentes de administraci¢n tributaria
;3353;Agentes de servicios de seguridad social
;3354;Agentes de servicios de expedici¢n de licencias y permisos
;3355;Inspectores de polic°a y detectives
;3359;Agentes de la administraci¢n p£blica para la aplicacion de la ley y afines no clasificados bajo otros ep°grafes
;3411;Profesionales de nivel medio del derecho y servicios legales y afines
;3412;Trabajadores y asistentes sociales de nivel medio
;3413;Auxiliares laicos de las religiones
;3421;Atletas y deportistas
;3422;Entrenadores, instructores y †rbitros de actividades deportivas
;3423;Instructores de educaci¢n f°sica y actividades recreativas
;3431;Fot¢grafos
;3432;Dise§adores y decoradores de interior
;3433;TÇcnicos en galer°as de arte, museos y bibliotecas
;3434;Chefs
;3435;Otros profesionales de nivel medio en actividades culturales y art°sticas
;3511;TÇcnicos en operaciones de tecnolog°a de la informaci¢n y las comunicaciones
;3512;TÇcnicos en asistencia al usuario de tecnolog°a de la informaci¢n y las comunicaciones
;3513;TÇcnicos en redes y sistemas de computadores
;3514;TÇcnicos de la Web
;3521;TÇcnicos de radiodifusi¢n y grabaci¢n audio visual
;3522;TÇcnicos de ingenier°a de las telecomunicaciones
;4110;Oficinistas generales
;4120;Secretarios (general)
;413;Operadores de m†quinas de oficina
;4131;Operadores de m†quinas de procesamiento de texto y mecan¢grafos
;4132;Grabadores de datos
;4211;Cajeros de bancos y afines
;4212;Receptores de apuestas y afines
;4213;Prestamistas
;4214;Cobradores y afines
;4221;Empleados de agencias de viajes
;4222;Empleados de centros de llamadas
;4223;Telefonistas
;4224;Recepcionistas de hoteles
;4225;Empleados de ventanillas de informaciones
;4226;Recepcionistas (general)
;4227;Entrevistadores de encuestas y de investigaciones de mercados
;4229;Empleados de servicios de informaci¢n al cliente no clasificados bajo otros ep°grafes
;4311;Empleados de contabilidad y c†lculo de costos
;4312;Empleados de servicios estad°sticos, financieros y de seguros
;4313;Empleados encargados de las n¢minas
;4321;Empleados de control de abastecimientos e inventario
;4322;Empleados de servicios de apoyo a la producci¢n
;4323;Empleados de servicios de transporte
;4411;Empleados de bibliotecas
;4412;Empleados de servicios de correos
;4413;Codificadores de datos, correctores de pruebas de imprenta y afines
;4414;Escribientes p£blicos y afines
;4415;Empleados de archivos
;4416;Empleados del servicio de personal
;4419;Personal de apoyo administrativo no clasificado bajo otros ep°grafes
;5111;Auxiliares de servicio de abordo
;5112;Revisores y cobradores de los transportes p£blicos
;5113;Gu°as de turismo
;5120;Cocineros
;5131;Camareros de mesas
;5132;Camareros de barra
;5141;Peluqueros
;5142;Especialistas en tratamientos de belleza y afines
;5151;Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos
;5152;Ec¢nomos y mayordomos domÇsticos 
;5153;Conserjes
;5161;Astr¢logos, adivinadores y afines
;5162;Acompa§antes y ayudantes de c†mara
;5163;Personal de pompas f£nebres y embalsamadores
;5164;Cuidadores de animales
;5165;Instructores de autoescuela
;5169;Trabajadores de servicios personales no clasificados bajo otros ep°grafes
;5211;Vendedores de quioscos y de puestos de mercado
;5212;Vendedores ambulantes de productos comestibles
;5221;Comerciantes de tiendas
;5222;Supervisores de tiendas y almacenes
;5223;Asistentes de venta de tiendas y almacenes
;5230;Cajeros y expendedores de billetes
;5241;Modelos de moda, arte y publicidad
;5242;Demostradores de tiendas
;5243;Vendedores puerta a puerta
;5244;Vendedores por telÇfono
;5245;Expendedores de gasolineras
;5246;Vendedores de comidas al mostrador
;5249;Vendedores no clasificados bajo otros ep°grafes
;5311;Cuidadores de ni§os
;5312;Auxiliares de maestros
;5321;Trabajadores de los cuidados personales en instituciones
;5322;Trabajadores de los cuidados personales a domicilio
;5329;Trabajadores de los cuidados personales en servicios de salud no clasificados bajo otros ep°grafes
;5411;Bomberos
;5412;Polic°as
;5413;Guardianes de prisi¢n
;5414;Guardias de protecci¢n
;5419;Personal de los servicios de protecci¢n no clasificados bajo otros ep°grafes
;6111;Agricultores y trabajadores calificados de cultivos extensivos
;6112;Agricultores y trabajadores calificados de plantaciones de †rboles y arbustos
;6113;Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines
;6114;Agricultores y trabajadores calificados de cultivos mixtos
;6121;Criadores de ganado
;6122;Avicultores y trabajadores calificados de la avicultura
;6123;Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura
;6129;Criadores y trabajadores pecuarios calificados de la cr°a de animales no clasificados bajo otros ep°grafes
;6130;Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producci¢n se destina al mercado
;6210;Trabajadores forestales calificados y afines
;6221;Trabajadores de explotaciones de acuicultura
;6222;Pescadores de agua dulce y en aguas costeras
;6223;Pescadores de alta mar
;6224;Cazadores y tramperos
;6310;Trabajadores agr°colas de subsistencia
;6320;Trabajadores pecuarios de subsistencia
;6330;Trabajadores agropecuarios de subsistencia
;6340;Pescadores, cazadores, tramperos y recolectores de subsistencia
;7111;Constructores de casas
;7112;Alba§iles
;7113;Mamposteros, tronzadores, labrantes y grabadores de piedra
;7114;Operarios en cemento armado, enfoscadores y afines
;7115;Carpinteros de armar y de obra blanca
;7119;Oficiales y operarios de la construcci¢n (obra gruesa) y afines no clasificados bajo otros ep°grafes
;7121;Techadores
;7122;Parqueteros y colocadores de suelos
;7123;Revocadores
;7124;Instaladores de material aislante y de insonorizaci¢n
;7125;Cristaleros
;7126;Fontaneros e instaladores de tuber°as
;7127;Mec†nicos-montadores de instalaciones de refrigeraci¢n y climatizaci¢n
;7131;Pintores y empapeladores
;7132;Barnizadores y afines
;7133;Limpiadores de fachadas y deshollinadores
;7211;Moldeadores y macheros
;7212;Soldadores y oxicortadores
;7213;Chapistas y caldereros
;7214;Montadores de estructuras met†licas
;7215;Aparejadores y empalmadores de cables
;7221;Herreros y forjadores
;7222;Herramentistas y afines
;7223;Reguladores y operadores de m†quinas herramientas
;7224;Pulidores de metales y afiladores de herramientas
;7231;Mec†nicos y reparadores de veh°culos de motor
;7232;Mec†nicos y reparadores de motores de avi¢n
;7233;Mec†nicos y reparadores de m†quinas agr°colas e industriales
;7234;Reparadores de bicicletas y afines
;7311;Mec†nicos y reparadores de instrumentos de precisi¢n
;7312;Fabricantes y afinadores de instrumentos musicales
;7313;Joyeros, orfebres y plateros
;7314;Alfareros y afines (barro, arcilla y abrasivos)
;7315;Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio
;7316;Redactores de carteles, pintores decorativos y grabadores
;7317;Artesanos en madera, cester°a y materiales similares
;7318;Artesanos de los tejidos, el cuero y materiales similares
;7319;Artesanos no clasificados bajo otros ep°grafes
;732;Oficiales y operarios de las artes gr†ficas
;7321;Cajistas, tip¢grafos y afines
;7322;Impresores
;7323;Encuadernadores y afines
;7411;Electricistas de obras y afines
;7412;Mec†nicos y ajustadores electricistas
;7413;Instaladores y reparadores de l°neas elÇctricas 
;7421;Mec†nicos y reparadores en electr¢nica
;7422;Instaladores y reparadores en tecnolog°a de la informaci¢n y las comunicaciones
;7511;Carniceros, pescaderos y afines
;7512;Panaderos, pasteleros y confiteros
;7513;Operarios de la elaboraci¢n de productos l†cteos
;7514;Operarios de la conservaci¢n de frutas, legumbres, verduras y afines
;7515;Catadores y clasificadores de alimentos y bebidas
;7516;Preparadores y elaboradores de tabaco y sus productos
;7521;Operarios del tratamiento de la madera
;7522;Ebanistas y afines
;7523;Reguladores y operadores de m†quinas de labrar madera
;7531;Sastres, modistos, peleteros y sombrereros
;7532;Patronistas y cortadores de tela y afines
;7533;Costureros, bordadores y afines
;7534;Tapiceros, colchoneros y afines
;7535;Apelambradores, pellejeros y curtidores
;7536;Zapateros y afines
;7541;Buzos
;7542;Dinamiteros y pegadores
;7543;Clasificadores y probadores de productos (excluyendo alimentos y bebidas)
;7544;Fumigadores y otros controladores de plagas y malas hierbas
;7549;Oficiales, operarios y artesanos de artes mec†nicas y de otros oficios no clasificados bajo otros ep°grafes
;8111;Mineros y operadores de instalaciones mineras
;8112;Operadores de instalaciones de procesamiento de minerales y rocas
;8113;Perforadores y sondistas de pozos y afines
